iter	TotalF1	MultiClass
328	0.6034357381	1.16884893
329	0.6045891428	1.168038244
330	0.6045929639	1.167057734
331	0.6052332874	1.166377293
332	0.6053358578	1.16511845
333	0.6045374201	1.164488998
334	0.6046275415	1.163961428
335	0.6019273669	1.163312684
336	0.6037986035	1.162809758
337	0.6036875846	1.16097902
338	0.6045524475	1.159992869
339	0.6046537321	1.159299677
340	0.6045670615	1.158703946
341	0.6060719029	1.158074374
342	0.6058661541	1.157548253
343	0.6058225223	1.156613429
344	0.605777328	1.156080171
345	0.6063977954	1.155336497
346	0.6075741743	1.154323199
347	0.6081134374	1.153300796
348	0.6090844422	1.15268985
349	0.6104389959	1.151817804
350	0.6092069409	1.15099854
351	0.6086561432	1.150404188
352	0.6079464345	1.149586695
353	0.6091464738	1.149039521
354	0.6086141536	1.148105518
355	0.6085902806	1.147581702
356	0.6088563715	1.146885715
357	0.6098927405	1.14601411
358	0.61010463	1.145464455
359	0.61010463	1.144913603
360	0.6108778805	1.14377389
361	0.610886998	1.14317086
362	0.6098193631	1.142316717
363	0.6104415276	1.141278261
364	0.6105006505	1.14091709
365	0.6105996719	1.139725042
366	0.6107881531	1.138832184
367	0.6108027647	1.138448135
368	0.610867231	1.137706684
369	0.6108436793	1.13717488
370	0.6115887191	1.136593534
371	0.6107899684	1.135923513
372	0.610819764	1.135166679
373	0.6117160218	1.134371073
374	0.6106023288	1.133643547
375	0.6113105901	1.132692897
376	0.6124362947	1.13219183
377	0.6116193177	1.131099387
378	0.6127131308	1.130305179
379	0.6142497755	1.129450656
380	0.6136462756	1.128392492
381	0.614348498	1.127967299
382	0.6131520479	1.126883076
383	0.6143515076	1.126267284
384	0.6154503431	1.12587601
385	0.6141571133	1.125008526
386	0.6141331425	1.1240454
387	0.612925434	1.123563583
388	0.6142477875	1.122720851
389	0.6157230384	1.1219466
390	0.6154758227	1.121442915
391	0.6159587178	1.120770409
392	0.616836553	1.119593294
393	0.6169629081	1.118948077
394	0.6172310259	1.118037581
395	0.6173266607	1.117394026
396	0.6190707865	1.116148131
397	0.6178295472	1.115772878
398	0.6193240626	1.115438861
399	0.6193499962	1.114489209
400	0.6202690287	1.113302485
401	0.6209995774	1.112683645
402	0.6209114258	1.112119565
403	0.6209007787	1.11144829
404	0.619325324	1.110574859
405	0.6203283241	1.110077161
406	0.6208057793	1.10959792
407	0.6206140509	1.108632525
408	0.6206294628	1.108000794
409	0.6222365254	1.107456096
410	0.6222341434	1.106693378
411	0.6231165847	1.10583508
412	0.6240747562	1.104843041
413	0.6250210114	1.104147402
414	0.6237046657	1.103612574
415	0.6243151129	1.10273309
416	0.6241997994	1.101725071
417	0.6223500172	1.100920527
418	0.623848778	1.100331033
419	0.6247460582	1.099854961
420	0.6233693451	1.099414388
421	0.6232684963	1.09905099
422	0.6256388905	1.098007547
423	0.6232699047	1.097517003
424	0.6232725277	1.096899525
425	0.6235076332	1.096600222
426	0.6265155333	1.096301377
427	0.625908065	1.095321097
428	0.6256600304	1.09470748
429	0.6268948102	1.093986956
430	0.6254741122	1.093359492
431	0.6244332869	1.092351429
432	0.6251739437	1.09180479
433	0.6253468091	1.09133992
434	0.6251190757	1.090823486
435	0.6238864064	1.090199747
436	0.6239792183	1.089949994
437	0.6233921327	1.089008962
438	0.6233949649	1.088257072
439	0.6245820763	1.087652015
440	0.6235260779	1.08710197
441	0.6256841572	1.086397708
442	0.6248931902	1.085686029
443	0.6257804198	1.085044398
444	0.6270118801	1.084700746
445	0.6272702165	1.084227342
446	0.6287386072	1.083827852
447	0.6292162702	1.083065566
448	0.6285224623	1.082385978
449	0.6285404486	1.081801254
450	0.6292400196	1.081105378
451	0.6287689584	1.080369735
452	0.6290952272	1.079862385
453	0.6299505225	1.079163269
454	0.6303690255	1.078599477
455	0.6308219456	1.077918637
456	0.6291527017	1.07722778
457	0.6293797394	1.076425688
458	0.6289764719	1.075693346
459	0.6307760308	1.075070905
460	0.6294857385	1.074689126
461	0.6300575887	1.07398384
462	0.6300392896	1.07304195
463	0.6289162464	1.072247255
464	0.6272402643	1.071702476
465	0.6274225741	1.071312961
466	0.6273941798	1.071014838
467	0.6261146532	1.07062385
468	0.6261987277	1.070337301
469	0.6265711614	1.069750244
470	0.6277327498	1.069145566
471	0.6266692485	1.068411173
472	0.6285770962	1.067969501
473	0.6296424904	1.067568482
474	0.6307432252	1.066915021
475	0.6318102749	1.065994047
476	0.6319994912	1.065721137
477	0.631090236	1.065033448
478	0.6310928202	1.064737254
479	0.6309531862	1.064228552
480	0.6326324513	1.063539248
481	0.6311988166	1.062697849
482	0.6328317665	1.061896064
483	0.6326367149	1.061493724
484	0.6338230838	1.061093231
485	0.6339048572	1.060374031
486	0.6341150691	1.059952008
487	0.6337770682	1.059376943
488	0.6348944023	1.058803056
489	0.6342637032	1.058234088
490	0.6333243981	1.057482088
491	0.6341211816	1.057189722
492	0.6346283569	1.056720784
493	0.6352560989	1.056182242
494	0.6346801074	1.055499324
495	0.6358838538	1.054326523
496	0.635115141	1.054080331
497	0.6356851372	1.053520456
498	0.6373067417	1.053011735
499	0.6375333101	1.052654657
